2015-5-24,79,282
1995-5-24,27,210
2004-8-11,51,290
2017-8-22,14,221
1990-3-5,80,131
2002-2-4,99,143
2005-11-19,29,227
2005-6-30,29,254
2005-10-13,89,156
2000-10-28,6,289
2005-2-6,66,278
2000-1-1,45,112
1997-12-28,85,153
2006-5-23,51,233
2005-1-14,93,286
2011-4-23,63,170
2010-2-14,88,265
1999-3-27,35,237
2018-8-20,85,187
2017-5-25,68,282
2004-3-29,92,129
2016-8-13,61,156
2013-4-14,22,137
1998-7-13,16,281
1993-2-15,76,296
2018-9-12,74,173
1998-3-18,24,130
2011-2-24,16,249
1992-12-2,52,135
1997-10-22,65,293
2009-10-3,13,204
1992-1-7,46,263
2007-10-2,15,299
1996-11-4,99,110
2016-1-1,92,218
1995-2-12,91,263
2000-7-18,45,237
1992-7-23,30,298
2007-11-23,62,107
2012-10-28,87,266
2019-9-28,98,233
2004-2-25,88,115
2009-3-19,22,240
1999-4-7,7,226
1996-8-16,97,156
2006-9-4,47,218
2018-6-11,84,186
1990-5-18,83,146
2010-6-15,30,242
1995-8-2,41,239
2010-8-11,18,221
2008-9-10,74,140
2017-9-20,25,206
1992-4-27,68,118
1993-5-18,59,233
1998-10-9,32,137
2019-1-25,33,137
2003-12-28,76,239
1993-9-12,77,288
2017-11-7,79,209
1998-11-28,87,199
2007-2-9,86,198
2003-11-15,29,136
2010-9-5,60,198
2015-9-6,22,199
1993-2-11,32,286
2017-8-26,81,199
2000-5-20,60,151
1994-1-4,64,172
1998-4-3,42,286
2007-4-20,76,197
1994-11-19,51,141
2006-6-25,39,148
1999-9-20,98,167
2016-2-13,0,256
2013-4-4,86,244
1991-6-30,70,142
2004-11-3,9,176
1999-8-25,13,110
1991-6-24,69,188
1993-8-18,52,219
2000-4-27,47,133
2008-7-19,59,146
2014-1-3,92,133
2004-3-25,29,171
2016-5-25,65,107
1997-10-19,83,161
1996-3-19,10,234
2013-9-7,40,163
2003-3-12,53,130
2006-1-12,38,161
2012-4-20,55,283
2010-10-21,31,229
1990-7-26,61,228
2005-5-11,71,260
2010-2-1,6,237
1995-8-22,56,100
1990-4-8,65,271
1995-5-21,87,230
1999-11-6,15,200
